customer_id,monetary,engagement_days,m_score,e_score,segment
84,40,7.0,1,3,Regular
85,32,90.0,1,2,Regular
86,95,14.0,3,3,High Value
87,41,14.0,1,3,Regular
88,53,14.0,2,3,Regular
89,47,30.0,2,2,Regular
90,83,90.0,3,2,Regular
91,48,30.0,2,2,Regular
92,99,90.0,3,2,Regular
93,87,90.0,3,2,Regular
94,62,7.0,2,3,Regular
95,76,7.0,3,3,High Value
96,100,30.0,3,2,Regular
97,73,90.0,2,2,Regular
98,92,365.0,3,1,At Risk
99,67,365.0,2,1,At Risk
100,40,90.0,1,2,Regular
101,98,14.0,3,3,High Value
102,85,14.0,3,3,High Value
103,67,90.0,2,2,Regular
104,89,14.0,3,3,High Value
105,24,30.0,1,2,Regular
106,96,365.0,3,1,At Risk
107,35,30.0,1,2,Regular
108,67,14.0,2,3,Regular
109,79,14.0,3,3,High Value
110,85,14.0,3,3,High Value
111,26,14.0,1,3,Regular
112,75,365.0,3,1,At Risk
113,65,14.0,2,3,Regular
114,54,90.0,2,2,Regular
115,95,7.0,3,3,High Value
116,94,90.0,3,2,Regular
117,86,365.0,3,1,At Risk
118,32,14.0,1,3,Regular
119,45,14.0,1,3,Regular
120,76,365.0,3,1,At Risk
121,84,365.0,3,1,At Risk
122,72,14.0,2,3,Regular
123,40,14.0,1,3,Regular
124,89,7.0,3,3,High Value
125,86,365.0,3,1,At Risk
126,54,90.0,2,2,Regular
127,36,90.0,1,2,Regular
128,89,7.0,3,3,High Value
129,32,14.0,1,3,Regular
130,67,14.0,2,3,Regular
131,39,14.0,1,3,Regular
132,29,7.0,1,3,Regular
133,58,7.0,2,3,Regular
134,65,365.0,2,1,At Risk
135,94,30.0,3,2,Regular
136,81,90.0,3,2,Regular
137,86,90.0,3,2,Regular
138,43,7.0,1,3,Regular
139,29,7.0,1,3,Regular
140,95,365.0,3,1,At Risk
141,28,7.0,1,3,Regular
142,46,7.0,2,3,Regular
143,58,14.0,2,3,Regular
144,48,90.0,2,2,Regular
145,43,30.0,1,2,Regular
146,95,90.0,3,2,Regular
147,30,14.0,1,3,Regular
148,64,14.0,2,3,Regular
149,90,365.0,3,1,At Risk
150,76,30.0,3,2,Regular
151,96,90.0,3,2,Regular
152,47,365.0,2,1,At Risk
153,85,365.0,3,1,At Risk
154,55,365.0,2,1,At Risk
155,98,90.0,3,2,Regular
156,77,90.0,3,2,Regular
157,26,365.0,1,1,At Risk
158,68,14.0,2,3,Regular
159,73,30.0,2,2,Regular
160,27,90.0,1,2,Regular
161,23,30.0,1,2,Regular
162,49,14.0,2,3,Regular
163,74,14.0,3,3,High Value
164,67,7.0,2,3,Regular
165,65,14.0,2,3,Regular
166,60,30.0,2,2,Regular
167,31,30.0,1,2,Regular
168,27,90.0,1,2,Regular
169,80,14.0,3,3,High Value
170,30,90.0,1,2,Regular
171,25,14.0,1,3,Regular
172,35,7.0,1,3,Regular
173,67,14.0,2,3,Regular
174,46,365.0,2,1,At Risk
175,35,365.0,1,1,At Risk
176,86,365.0,3,1,At Risk
177,81,90.0,3,2,Regular
178,42,30.0,1,2,Regular
179,43,90.0,1,2,Regular
180,31,14.0,1,3,Regular
181,81,14.0,3,3,High Value
182,61,7.0,2,3,Regular
183,96,365.0,3,1,At Risk
184,29,7.0,1,3,Regular
185,33,14.0,1,3,Regular
186,32,14.0,1,3,Regular
187,56,365.0,2,1,At Risk
188,94,14.0,3,3,High Value
189,53,14.0,2,3,Regular
190,82,7.0,3,3,High Value
191,70,90.0,2,2,Regular
192,76,90.0,3,2,Regular
193,29,14.0,1,3,Regular
194,100,365.0,3,1,At Risk
195,94,90.0,3,2,Regular
196,25,30.0,1,2,Regular
197,88,14.0,3,3,High Value
198,78,30.0,3,2,Regular
199,45,14.0,1,3,Regular
200,73,7.0,2,3,Regular
201,61,30.0,2,2,Regular
202,22,365.0,1,1,At Risk
203,38,365.0,1,1,At Risk
204,38,7.0,1,3,Regular
205,100,14.0,3,3,High Value
206,64,7.0,2,3,Regular
207,55,14.0,2,3,Regular
208,91,14.0,3,3,High Value
209,38,30.0,1,2,Regular
210,97,90.0,3,2,Regular
211,22,14.0,1,3,Regular
212,92,14.0,3,3,High Value
213,84,365.0,3,1,At Risk
214,93,90.0,3,2,Regular
215,50,90.0,2,2,Regular
216,64,14.0,2,3,Regular
217,61,7.0,2,3,Regular
218,48,365.0,2,1,At Risk
219,45,90.0,1,2,Regular
220,88,14.0,3,3,High Value
221,57,14.0,2,3,Regular
222,68,90.0,2,2,Regular
223,94,14.0,3,3,High Value
224,41,365.0,1,1,At Risk
225,83,90.0,3,2,Regular
226,22,365.0,1,1,At Risk
227,74,30.0,3,2,Regular
228,90,14.0,3,3,High Value
229,79,365.0,3,1,At Risk
230,28,90.0,1,2,Regular
231,88,365.0,3,1,At Risk
232,26,90.0,1,2,Regular
233,27,14.0,1,3,Regular
234,83,90.0,3,2,Regular
235,39,7.0,1,3,Regular
236,89,90.0,3,2,Regular
237,68,14.0,2,3,Regular
238,90,14.0,3,3,High Value
239,34,365.0,1,1,At Risk
240,51,14.0,2,3,Regular
241,45,14.0,1,3,Regular
242,88,14.0,3,3,High Value
243,85,90.0,3,2,Regular
244,100,30.0,3,2,Regular
245,42,7.0,1,3,Regular
246,53,14.0,2,3,Regular
247,86,14.0,3,3,High Value
248,66,7.0,2,3,Regular
249,100,7.0,3,3,High Value
250,47,365.0,2,1,At Risk
251,25,7.0,1,3,Regular
252,51,365.0,2,1,At Risk
253,41,14.0,1,3,Regular
254,73,14.0,2,3,Regular
255,42,14.0,1,3,Regular
256,20,365.0,1,1,At Risk
257,30,90.0,1,2,Regular
258,53,90.0,2,2,Regular
259,74,90.0,3,2,Regular
260,57,365.0,2,1,At Risk
261,57,90.0,2,2,Regular
262,77,365.0,3,1,At Risk
263,40,365.0,1,1,At Risk
264,46,30.0,2,2,Regular
265,78,365.0,3,1,At Risk
266,59,14.0,2,3,Regular
267,75,7.0,3,3,High Value
268,54,365.0,2,1,At Risk
269,42,30.0,1,2,Regular
270,44,14.0,1,3,Regular
271,52,365.0,2,1,At Risk
272,69,14.0,2,3,Regular
273,26,14.0,1,3,Regular
274,33,90.0,1,2,Regular
275,32,14.0,1,3,Regular
276,85,7.0,3,3,High Value
277,30,14.0,1,3,Regular
278,29,14.0,1,3,Regular
279,95,365.0,3,1,At Risk
280,69,30.0,2,2,Regular
281,69,14.0,2,3,Regular
282,61,14.0,2,3,Regular
283,94,30.0,3,2,Regular
284,30,365.0,1,1,At Risk
285,45,90.0,1,2,Regular
286,39,14.0,1,3,Regular
287,51,365.0,2,1,At Risk
288,37,14.0,1,3,Regular
289,62,14.0,2,3,Regular
290,85,30.0,3,2,Regular
291,33,7.0,1,3,Regular
292,26,30.0,1,2,Regular
293,99,90.0,3,2,Regular
294,39,365.0,1,1,At Risk
295,20,90.0,1,2,Regular
296,42,90.0,1,2,Regular
297,74,7.0,3,3,High Value
298,26,14.0,1,3,Regular
299,53,90.0,2,2,Regular
300,80,14.0,3,3,High Value
301,98,7.0,3,3,High Value
302,95,90.0,3,2,Regular
303,44,90.0,1,2,Regular
304,60,7.0,2,3,Regular
305,84,14.0,3,3,High Value
306,59,365.0,2,1,At Risk
307,49,365.0,2,1,At Risk
308,32,90.0,1,2,Regular
309,29,14.0,1,3,Regular
310,22,14.0,1,3,Regular
311,85,14.0,3,3,High Value
312,52,30.0,2,2,Regular
313,89,365.0,3,1,At Risk
314,77,90.0,3,2,Regular
315,24,90.0,1,2,Regular
316,24,365.0,1,1,At Risk
317,22,30.0,1,2,Regular
318,82,90.0,3,2,Regular
319,67,365.0,2,1,At Risk
320,74,90.0,3,2,Regular
321,72,90.0,2,2,Regular
322,36,90.0,1,2,Regular
323,95,30.0,3,2,Regular
324,78,14.0,3,3,High Value
325,82,90.0,3,2,Regular
326,70,365.0,2,1,At Risk
327,41,7.0,1,3,Regular
328,42,7.0,1,3,Regular
329,50,7.0,2,3,Regular
330,31,30.0,1,2,Regular
331,51,14.0,2,3,Regular
332,98,90.0,3,2,Regular
333,86,30.0,3,2,Regular
334,64,14.0,2,3,Regular
335,46,365.0,2,1,At Risk
336,85,90.0,3,2,Regular
337,81,365.0,3,1,At Risk
338,59,365.0,2,1,At Risk
339,79,7.0,3,3,High Value
340,33,90.0,1,2,Regular
341,47,90.0,2,2,Regular
342,20,14.0,1,3,Regular
343,36,90.0,1,2,Regular
344,39,30.0,1,2,Regular
345,71,30.0,2,2,Regular
346,59,365.0,2,1,At Risk
347,50,7.0,2,3,Regular
348,41,14.0,1,3,Regular
349,59,14.0,2,3,Regular
350,87,14.0,3,3,High Value
351,68,14.0,2,3,Regular
352,90,14.0,3,3,High Value
353,71,90.0,2,2,Regular
354,64,30.0,2,2,Regular
355,76,7.0,3,3,High Value
356,42,90.0,1,2,Regular
357,80,7.0,3,3,High Value
358,56,14.0,2,3,Regular
359,25,90.0,1,2,Regular
360,74,90.0,3,2,Regular
361,30,14.0,1,3,Regular
362,96,365.0,3,1,At Risk
363,64,14.0,2,3,Regular
364,88,14.0,3,3,High Value
365,88,90.0,3,2,Regular
366,88,90.0,3,2,Regular
367,36,14.0,1,3,Regular
368,40,30.0,1,2,Regular
369,39,30.0,1,2,Regular
370,40,90.0,1,2,Regular
371,34,7.0,1,3,Regular
372,83,30.0,3,2,Regular
373,85,7.0,3,3,High Value
374,27,14.0,1,3,Regular
375,78,30.0,3,2,Regular
376,32,90.0,1,2,Regular
377,51,14.0,2,3,Regular
378,32,90.0,1,2,Regular
379,62,30.0,2,2,Regular
380,29,14.0,1,3,Regular
381,69,7.0,2,3,Regular
382,25,90.0,1,2,Regular
383,76,90.0,3,2,Regular
384,77,90.0,3,2,Regular
385,33,365.0,1,1,At Risk
386,93,14.0,3,3,High Value
387,39,90.0,1,2,Regular
388,93,14.0,3,3,High Value
389,82,90.0,3,2,Regular
390,42,30.0,1,2,Regular
391,71,365.0,2,1,At Risk
392,86,14.0,3,3,High Value
393,82,365.0,3,1,At Risk
394,65,14.0,2,3,Regular
395,29,14.0,1,3,Regular
396,65,365.0,2,1,At Risk
397,88,365.0,3,1,At Risk
398,46,365.0,2,1,At Risk
399,67,90.0,2,2,Regular
400,35,30.0,1,2,Regular
401,66,14.0,2,3,Regular
402,91,90.0,3,2,Regular
403,78,30.0,3,2,Regular
404,45,365.0,1,1,At Risk
405,93,30.0,3,2,Regular
406,74,365.0,3,1,At Risk
407,55,30.0,2,2,Regular
408,76,14.0,3,3,High Value
409,66,14.0,2,3,Regular
410,51,30.0,2,2,Regular
411,26,90.0,1,2,Regular
412,29,365.0,1,1,At Risk
413,74,7.0,3,3,High Value
414,99,30.0,3,2,Regular
415,88,7.0,3,3,High Value
416,31,30.0,1,2,Regular
417,55,14.0,2,3,Regular
418,81,90.0,3,2,Regular
419,73,14.0,2,3,Regular
420,91,90.0,3,2,Regular
421,54,14.0,2,3,Regular
422,40,14.0,1,3,Regular
423,59,365.0,2,1,At Risk
424,26,14.0,1,3,Regular
425,23,14.0,1,3,Regular
426,87,90.0,3,2,Regular
427,71,90.0,2,2,Regular
428,91,90.0,3,2,Regular
429,64,14.0,2,3,Regular
430,94,14.0,3,3,High Value
431,40,365.0,1,1,At Risk
432,76,14.0,3,3,High Value
433,86,7.0,3,3,High Value
434,92,14.0,3,3,High Value
435,52,90.0,2,2,Regular
436,28,30.0,1,2,Regular
437,46,7.0,2,3,Regular
438,50,365.0,2,1,At Risk
439,23,14.0,1,3,Regular
440,50,30.0,2,2,Regular
441,89,14.0,3,3,High Value
442,81,365.0,3,1,At Risk
443,69,90.0,2,2,Regular
444,67,365.0,2,1,At Risk
445,20,365.0,1,1,At Risk
446,29,365.0,1,1,At Risk
447,74,30.0,3,2,Regular
448,82,90.0,3,2,Regular
449,23,14.0,1,3,Regular
450,45,30.0,1,2,Regular
451,21,30.0,1,2,Regular
452,31,14.0,1,3,Regular
453,45,14.0,1,3,Regular
454,56,7.0,2,3,Regular
455,97,14.0,3,3,High Value
456,100,14.0,3,3,High Value
457,96,90.0,3,2,Regular
458,99,90.0,3,2,Regular
459,91,30.0,3,2,Regular
460,30,14.0,1,3,Regular
461,65,7.0,2,3,Regular
462,93,7.0,3,3,High Value
463,81,90.0,3,2,Regular
464,81,7.0,3,3,High Value
465,52,30.0,2,2,Regular
466,88,90.0,3,2,Regular
467,24,7.0,1,3,Regular
468,51,90.0,2,2,Regular
469,38,90.0,1,2,Regular
470,46,14.0,2,3,Regular
471,63,90.0,2,2,Regular
472,72,90.0,2,2,Regular
473,39,90.0,1,2,Regular
474,42,90.0,1,2,Regular
475,76,90.0,3,2,Regular
476,66,365.0,2,1,At Risk
477,90,14.0,3,3,High Value
478,56,7.0,2,3,Regular
479,43,365.0,1,1,At Risk
480,84,30.0,3,2,Regular
481,88,14.0,3,3,High Value
482,88,14.0,3,3,High Value
483,42,365.0,1,1,At Risk
484,73,7.0,2,3,Regular
485,73,90.0,2,2,Regular
486,44,14.0,1,3,Regular
487,63,90.0,2,2,Regular
488,68,90.0,2,2,Regular
489,29,7.0,1,3,Regular
490,85,365.0,3,1,At Risk
491,42,30.0,1,2,Regular
492,69,14.0,2,3,Regular
493,62,7.0,2,3,Regular
494,48,14.0,2,3,Regular
495,68,7.0,2,3,Regular
496,36,14.0,1,3,Regular
497,63,14.0,2,3,Regular
498,39,7.0,1,3,Regular
499,78,30.0,3,2,Regular
500,99,30.0,3,2,Regular
501,31,90.0,1,2,Regular
502,45,365.0,1,1,At Risk
503,30,14.0,1,3,Regular
504,24,90.0,1,2,Regular
505,22,365.0,1,1,At Risk
506,63,14.0,2,3,Regular
507,40,365.0,1,1,At Risk
508,20,14.0,1,3,Regular
509,20,90.0,1,2,Regular
510,80,7.0,3,3,High Value
511,87,365.0,3,1,At Risk
512,46,365.0,2,1,At Risk
513,49,30.0,2,2,Regular
514,65,365.0,2,1,At Risk
515,62,90.0,2,2,Regular
516,67,30.0,2,2,Regular
517,41,14.0,1,3,Regular
518,49,90.0,2,2,Regular
519,100,90.0,3,2,Regular
520,54,90.0,2,2,Regular
521,84,90.0,3,2,Regular
522,41,365.0,1,1,At Risk
523,88,90.0,3,2,Regular
524,40,90.0,1,2,Regular
525,39,365.0,1,1,At Risk
526,37,30.0,1,2,Regular
527,52,30.0,2,2,Regular
528,23,90.0,1,2,Regular
529,88,365.0,3,1,At Risk
530,84,30.0,3,2,Regular
531,37,14.0,1,3,Regular
532,51,7.0,2,3,Regular
533,76,90.0,3,2,Regular
534,60,7.0,2,3,Regular
535,72,90.0,2,2,Regular
536,45,7.0,1,3,Regular
537,84,90.0,3,2,Regular
538,49,365.0,2,1,At Risk
539,22,7.0,1,3,Regular
540,48,7.0,2,3,Regular
541,37,90.0,1,2,Regular
542,27,14.0,1,3,Regular
543,79,14.0,3,3,High Value
544,98,30.0,3,2,Regular
545,64,90.0,2,2,Regular
546,32,365.0,1,1,At Risk
547,74,14.0,3,3,High Value
548,50,7.0,2,3,Regular
549,64,90.0,2,2,Regular
550,29,14.0,1,3,Regular
551,62,7.0,2,3,Regular
552,78,14.0,3,3,High Value
553,94,7.0,3,3,High Value
554,59,90.0,2,2,Regular
555,47,7.0,2,3,Regular
556,57,365.0,2,1,At Risk
557,90,14.0,3,3,High Value
558,60,7.0,2,3,Regular
559,77,90.0,3,2,Regular
560,41,30.0,1,2,Regular
561,48,365.0,2,1,At Risk
562,65,14.0,2,3,Regular
563,62,365.0,2,1,At Risk
564,99,90.0,3,2,Regular
565,58,7.0,2,3,Regular
566,43,7.0,1,3,Regular
567,93,14.0,3,3,High Value
568,50,14.0,2,3,Regular
569,88,30.0,3,2,Regular
570,33,90.0,1,2,Regular
571,99,365.0,3,1,At Risk
572,76,7.0,3,3,High Value
573,97,365.0,3,1,At Risk
574,68,14.0,2,3,Regular
575,79,14.0,3,3,High Value
576,86,30.0,3,2,Regular
577,68,90.0,2,2,Regular
578,52,365.0,2,1,At Risk
579,90,14.0,3,3,High Value
580,41,365.0,1,1,At Risk
581,80,7.0,3,3,High Value
582,100,90.0,3,2,Regular
583,77,90.0,3,2,Regular
584,78,30.0,3,2,Regular
585,94,30.0,3,2,Regular
586,23,90.0,1,2,Regular
587,20,365.0,1,1,At Risk
588,86,90.0,3,2,Regular
589,60,90.0,2,2,Regular
590,70,365.0,2,1,At Risk
591,39,14.0,1,3,Regular
592,37,14.0,1,3,Regular
593,29,90.0,1,2,Regular
594,35,90.0,1,2,Regular
595,83,30.0,3,2,Regular
596,77,90.0,3,2,Regular
597,37,365.0,1,1,At Risk
598,69,14.0,2,3,Regular
599,66,90.0,2,2,Regular
600,26,90.0,1,2,Regular
601,63,30.0,2,2,Regular
602,38,14.0,1,3,Regular
603,58,90.0,2,2,Regular
604,46,90.0,2,2,Regular
605,92,90.0,3,2,Regular
606,32,7.0,1,3,Regular
607,90,30.0,3,2,Regular
608,23,30.0,1,2,Regular
609,25,90.0,1,2,Regular
610,54,14.0,2,3,Regular
611,72,90.0,2,2,Regular
612,33,30.0,1,2,Regular
613,43,90.0,1,2,Regular
614,51,14.0,2,3,Regular
615,85,14.0,3,3,High Value
616,100,365.0,3,1,At Risk
617,72,90.0,2,2,Regular
618,57,90.0,2,2,Regular
619,94,14.0,3,3,High Value
620,34,90.0,1,2,Regular
621,89,90.0,3,2,Regular
622,27,7.0,1,3,Regular
623,63,14.0,2,3,Regular
624,70,14.0,2,3,Regular
625,87,365.0,3,1,At Risk
626,79,7.0,3,3,High Value
627,79,365.0,3,1,At Risk
628,44,30.0,1,2,Regular
629,85,30.0,3,2,Regular
630,90,365.0,3,1,At Risk
631,94,365.0,3,1,At Risk
632,68,14.0,2,3,Regular
633,51,14.0,2,3,Regular
634,33,90.0,1,2,Regular
635,60,7.0,2,3,Regular
636,59,90.0,2,2,Regular
637,30,90.0,1,2,Regular
638,20,14.0,1,3,Regular
639,20,30.0,1,2,Regular
640,24,365.0,1,1,At Risk
641,88,14.0,3,3,High Value
642,78,90.0,3,2,Regular
643,25,14.0,1,3,Regular
644,57,90.0,2,2,Regular
645,93,7.0,3,3,High Value
646,42,14.0,1,3,Regular
647,54,14.0,2,3,Regular
648,70,14.0,2,3,Regular
649,31,7.0,1,3,Regular
650,93,90.0,3,2,Regular
651,40,365.0,1,1,At Risk
652,32,14.0,1,3,Regular
653,27,7.0,1,3,Regular
654,68,14.0,2,3,Regular
655,59,365.0,2,1,At Risk
656,36,30.0,1,2,Regular
657,23,90.0,1,2,Regular
658,80,90.0,3,2,Regular
659,37,7.0,1,3,Regular
660,52,7.0,2,3,Regular
661,79,90.0,3,2,Regular
662,68,90.0,2,2,Regular
663,98,14.0,3,3,High Value
664,83,30.0,3,2,Regular
665,83,14.0,3,3,High Value
666,55,365.0,2,1,At Risk
667,26,90.0,1,2,Regular
668,76,90.0,3,2,Regular
669,85,30.0,3,2,Regular
670,89,14.0,3,3,High Value
671,41,14.0,1,3,Regular
672,30,7.0,1,3,Regular
673,53,90.0,2,2,Regular
674,66,14.0,2,3,Regular
675,33,365.0,1,1,At Risk
676,86,365.0,3,1,At Risk
677,60,14.0,2,3,Regular
678,62,365.0,2,1,At Risk
679,74,90.0,3,2,Regular
680,95,14.0,3,3,High Value
681,25,365.0,1,1,At Risk
682,59,90.0,2,2,Regular
683,29,14.0,1,3,Regular
684,36,30.0,1,2,Regular
685,82,30.0,3,2,Regular
686,71,14.0,2,3,Regular
687,35,14.0,1,3,Regular
688,38,90.0,1,2,Regular
689,59,30.0,2,2,Regular
690,91,90.0,3,2,Regular
691,68,7.0,2,3,Regular
692,21,14.0,1,3,Regular
693,95,90.0,3,2,Regular
694,52,90.0,2,2,Regular
695,21,90.0,1,2,Regular
696,67,90.0,2,2,Regular
697,42,30.0,1,2,Regular
698,63,90.0,2,2,Regular
699,41,7.0,1,3,Regular
700,46,7.0,2,3,Regular
701,79,30.0,3,2,Regular
702,90,90.0,3,2,Regular
703,71,7.0,2,3,Regular
704,87,7.0,3,3,High Value
705,66,365.0,2,1,At Risk
706,90,90.0,3,2,Regular
707,47,7.0,2,3,Regular
708,38,365.0,1,1,At Risk
709,50,14.0,2,3,Regular
710,79,30.0,3,2,Regular
711,91,14.0,3,3,High Value
712,60,14.0,2,3,Regular
713,81,90.0,3,2,Regular
714,90,14.0,3,3,High Value
715,70,14.0,2,3,Regular
716,63,90.0,2,2,Regular
717,29,14.0,1,3,Regular
718,90,90.0,3,2,Regular
719,22,365.0,1,1,At Risk
720,22,14.0,1,3,Regular
721,62,7.0,2,3,Regular
722,57,90.0,2,2,Regular
723,32,14.0,1,3,Regular
724,53,30.0,2,2,Regular
725,79,90.0,3,2,Regular
726,61,14.0,2,3,Regular
727,78,90.0,3,2,Regular
728,97,90.0,3,2,Regular
729,78,90.0,3,2,Regular
730,56,90.0,2,2,Regular
731,25,14.0,1,3,Regular
732,28,14.0,1,3,Regular
733,57,14.0,2,3,Regular
734,36,14.0,1,3,Regular
735,69,90.0,2,2,Regular
736,48,14.0,2,3,Regular
737,58,90.0,2,2,Regular
738,24,365.0,1,1,At Risk
739,31,90.0,1,2,Regular
740,29,14.0,1,3,Regular
741,69,14.0,2,3,Regular
742,79,90.0,3,2,Regular
743,39,90.0,1,2,Regular
744,84,7.0,3,3,High Value
745,66,14.0,2,3,Regular
746,92,30.0,3,2,Regular
747,45,365.0,1,1,At Risk
748,74,7.0,3,3,High Value
749,39,90.0,1,2,Regular
750,71,90.0,2,2,Regular
751,95,365.0,3,1,At Risk
752,72,30.0,2,2,Regular
753,85,90.0,3,2,Regular
754,54,90.0,2,2,Regular
755,41,90.0,1,2,Regular
756,24,7.0,1,3,Regular
757,99,14.0,3,3,High Value
758,32,90.0,1,2,Regular
759,71,90.0,2,2,Regular
760,49,14.0,2,3,Regular
761,50,365.0,2,1,At Risk
762,91,7.0,3,3,High Value
763,46,14.0,2,3,Regular
764,50,30.0,2,2,Regular
765,39,90.0,1,2,Regular
766,99,90.0,3,2,Regular
767,48,30.0,2,2,Regular
768,77,365.0,3,1,At Risk
769,95,7.0,3,3,High Value
770,100,30.0,3,2,Regular
771,54,365.0,2,1,At Risk
772,68,14.0,2,3,Regular
773,22,14.0,1,3,Regular
774,84,14.0,3,3,High Value
775,46,90.0,2,2,Regular
776,53,30.0,2,2,Regular
777,60,90.0,2,2,Regular
778,32,7.0,1,3,Regular
779,50,365.0,2,1,At Risk
780,94,365.0,3,1,At Risk
781,26,90.0,1,2,Regular
782,44,14.0,1,3,Regular
783,57,7.0,2,3,Regular
784,65,14.0,2,3,Regular
785,72,90.0,2,2,Regular
786,62,14.0,2,3,Regular
787,21,90.0,1,2,Regular
788,85,7.0,3,3,High Value
789,51,90.0,2,2,Regular
790,84,14.0,3,3,High Value
791,37,90.0,1,2,Regular
792,44,14.0,1,3,Regular
793,45,7.0,1,3,Regular
794,35,30.0,1,2,Regular
795,50,14.0,2,3,Regular
796,26,365.0,1,1,At Risk
797,78,365.0,3,1,At Risk
798,82,7.0,3,3,High Value
799,39,90.0,1,2,Regular
800,55,365.0,2,1,At Risk
801,20,90.0,1,2,Regular
802,29,14.0,1,3,Regular
803,41,7.0,1,3,Regular
804,38,90.0,1,2,Regular
805,47,90.0,2,2,Regular
806,30,30.0,1,2,Regular
807,56,90.0,2,2,Regular
808,89,7.0,3,3,High Value
809,96,90.0,3,2,Regular
810,81,14.0,3,3,High Value
811,83,14.0,3,3,High Value
812,35,90.0,1,2,Regular
813,56,7.0,2,3,Regular
814,45,365.0,1,1,At Risk
815,62,30.0,2,2,Regular
816,84,14.0,3,3,High Value
817,24,30.0,1,2,Regular
818,21,14.0,1,3,Regular
819,91,30.0,3,2,Regular
820,36,90.0,1,2,Regular
821,39,30.0,1,2,Regular
822,39,14.0,1,3,Regular
823,59,365.0,2,1,At Risk
824,27,90.0,1,2,Regular
825,94,90.0,3,2,Regular
826,94,30.0,3,2,Regular
827,94,7.0,3,3,High Value
828,51,14.0,2,3,Regular
829,62,14.0,2,3,Regular
830,57,14.0,2,3,Regular
831,76,365.0,3,1,At Risk
832,63,90.0,2,2,Regular
833,80,14.0,3,3,High Value
834,68,365.0,2,1,At Risk
835,89,7.0,3,3,High Value
836,26,7.0,1,3,Regular
837,90,14.0,3,3,High Value
838,28,90.0,1,2,Regular
839,29,365.0,1,1,At Risk
840,31,90.0,1,2,Regular
841,24,7.0,1,3,Regular
842,88,14.0,3,3,High Value
843,87,7.0,3,3,High Value
844,80,7.0,3,3,High Value
845,48,14.0,2,3,Regular
846,21,30.0,1,2,Regular
847,72,90.0,2,2,Regular
848,44,30.0,1,2,Regular
849,73,14.0,2,3,Regular
850,61,90.0,2,2,Regular
851,20,30.0,1,2,Regular
852,86,30.0,3,2,Regular
853,60,90.0,2,2,Regular
854,43,30.0,1,2,Regular
855,44,30.0,1,2,Regular
856,76,90.0,3,2,Regular
857,33,14.0,1,3,Regular
858,60,90.0,2,2,Regular
859,26,7.0,1,3,Regular
860,73,30.0,2,2,Regular
861,87,30.0,3,2,Regular
862,100,90.0,3,2,Regular
863,84,14.0,3,3,High Value
